_id,name,country,lat,lng
0,Almaty,KZ,43.325,76.915
1,Bangkok,TH,13.75,100.5166
2,Beijing,CN,39.9289,116.3883
3,Berlin,DE,52.5218,13.4015
4,Buenos Aires,AR,-34.6025,-58.3975
5,Cairo,EG,30.05,31.25
6,Cancún,MX,21.17,-86.83
7,New Delhi,IN,28.6,77.2
8,Denpasar,ID,-8.65,115.22
9,Dhaka,BD,23.7231,90.4086
10,Dublin,IE,53.3331,-6.2489
11,Durban,ZA,-29.865,30.98
12,Hạ Long,VN,20.9604,107.1
13,Istanbul,TR,41.105,29.01
14,Kuala Lumpur,MY,3.1667,101.7
15,Lagos,NG,6.4433,3.3915
16,Las Vegas,US,36.2333,-115.2654
17,Lima,PE,-12.048,-77.0501
18,London,GB,51.5,-0.1167
19,Madrid,ES,40.4,-3.6834
20,Manila,PH,14.6042,120.9822
21,Minsk,BY,53.9,27.5666
22,Moscow,RU,55.7522,37.6155
23,Mumbai,IN,19.017,72.857
24,New York,US,40.6943,-73.9249
25,Ōsaka,JP,34.75,135.4601
26,Paris,FR,48.8667,2.3333
27,Reykjavík,IS,64.15,-21.95
28,Riyadh,SA,24.6408,46.7727
29,Rome,IT,41.896,12.4833
30,São Paulo,BR,-23.5587,-46.625
31,Shanghai,CN,31.2165,121.4365
32,Stockholm,SE,59.3508,18.0973
33,Sydney,AU,-33.92,151.1852
34,Taipei,TW,25.0358,121.5683
35,Tallinn,EE,59.4339,24.728
36,Ulaanbaatar,MN,47.9167,106.9166
37,Vancouver,CA,49.2734,-123.1216
38,Vienna,AT,48.2,16.3666
39,Wellington,NZ,-41.3,174.7833
